Vessel/Spill,Address,Lat/Lng,Date,Minimum Spill,Maximum Spill,Company,Refs
ConocoPhillips Canada pipeline spill,"Canada, Alberta, Grande Cache","53.8885721, -119.1142818",09-Jun-16,323,323,ConocoPhillips,[43]
2016 Union Pacific oil train fire,"United States, Oregon, Mosier","45.6834528, -121.397295",03-Jun-16,152,152,Union Pacific Railroad,[44]
Denbury Resources Bowman County Oil SPill,"United States, North Dakota Bowman County","46.0945462, -103.556038",18-May-16,44,44,Denbury Resources,[45]
"Shell Gulf of Mexico oil spill, Brutus offshore platform","United States, Gulf of Mexico, near Louisiana","30.9842977, -91.96233269999999",12-May-16,316,316,Royal Dutch Shell,[46]
Keystone Pipeline 2016 spill,"United States, Menno, South Dakota","43.2397131, -97.5778442",02-Apr-16,55,55,TransCanada Corporation,[47]
Refugio oil spill,"United States, California, near Refugio State Beach","34.4595891, -120.0245304",19-May-15,330,330,Plains All American Pipeline,[48]
MV Marathassa bunker fuel spill,"Canada, British Columbia, English Bay (Vancouver)","49.2871809, -123.1614389",13-Apr-15,2,2,Alassia NewShips Management Inc.,[49]
Illinois train derailment,"United States, Illinois, near Galena","42.4166744, -90.4290168",05-Mar-15,1300,1300,BNSF Railway,[50]
2015 Yellowstone River oil spill,"United States, Montana, near Glendive","47.106401, -104.7107931",17-Jan-15,41,160,Bridger Pipeline LLC,[51][52]
Black Sea oil pipeline spill,"Russia, Tuapse, near Black Sea","44.0961624, 39.0745411",24-Dec-14,,,Transneft,[53]
2014 Israeli oil spill,"Israel, Eilat, Trans-Israel pipeline","29.557669, 34.951925",06-Dec-14,1948,4300,Eilat Ashkelon Pipeline Company,[54]
Mid-Valley Pipeline,"United States, Louisiana, Mooringsport","32.6876455, -93.96101499999999",13-Oct-14,546,546,Sunoco,[55]
Lake Michigan oil spill,"United States, Indiana, Whiting refinery","41.6624668, -87.483183",24-Mar-14,2,5,BP,[56][57][58]
MV Miss Susan/MV Summer Wind,"United States, Texas, Houston Ship Channel","29.6040207, -94.9516266",22-Mar-14,546,546,Kirby Corporation,[59][60]
North Dakota pipeline spill,"United States, North Dakota, Hiland","46.8272702, -100.8084267",21-Mar-14,110,110,Hiland Crude LLC,[61]
North Dakota train collision,"United States, North Dakota, Casselton","46.9005292, -97.2111999",30-Dec-13,1300,1300,BNSF Railway,[62]
Bullenbaai,"Curaçao, Bullenbaai, Isla refinery","12.134548, -68.9330949",01-Nov-13,,,Petróleos de Venezuela,[63]
North Dakota pipeline spill,"United States, North Dakota, Tioga","48.3972442, -102.938238",25 September 2013 � 29 September 2013,2810,2810,Tesoro,[64][65]
Rayong oil spill,"Thailand, Rayong/Ko Samet, Gulf of Thailand","12.5582501, 101.4510911",27-Jul-13,43,163,PTT Global Chemical,[66][67]
Lac-Mégantic derailment,"Canada, Québec, Lac-Mégantic","45.5801342, -70.8881",06-Jul-13,4830,4830,,[68]
Cushing storage terminal,"United States, Oklahoma, Cushing","35.9850639, -96.76697",18-May-13,340,340,Enbridge Energy Partners,[69][70]
Mayflower,"United States, Arkansas, Mayflower","34.9570324, -92.42737849999999",30-Mar-13,680,950,ExxonMobil,[71]
Magnolia refinery,"United States, Arkansas, Magnolia","33.2670725, -93.239334",09-Mar-13,680,760,Delek Logistics,[72][73]
Bullenbaai,"Curaçao, Bullenbaai","12.182, -69.032",07-Nov-12,,,Petróleos de Venezuela,[63][74]
Arthur Kill storage tank diesel spill (Hurricane Sandy),"United States, New Jersey, Sewaren","40.5520491, -74.2587568",29-Oct-12,1090,1130,Exxon,[75][76]
Curaçao,"Curaçao, Isla refinery and Jan Kok nature preserve","12.2174671, -69.0513592",17-Aug-12,,,Petróleos de Venezuela,[77][78]
"Sundre, Alberta","Canada, Sundre","51.7970759, -114.6393903",08-Jun-12,410,410,,[79]
